village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
E1,7,06.08.19,16:40:00,POT,E,1,R,M,C,C,V,V,25000,P,J,FO,S,6
E1,7,07.08.19,07:36:00,ATH,E,1,R,F,C,C,V,V,10000,F,N,FF,S,1
E1,7,10.08.19,08:29:00,CBA,E,1,M,F,C,C,V,V,18000,F,N,FO,N,7
E1,7,20.08.19,07:30:00,ATH,E,1,M,F,C,C,V,V,10000,F,N,FF,S,1
E1,7,20.08.19,07:30:00,ATH,E,1,M,F,C,C,V,M,NA,F,N,FF,S,1
E1,7,20.08.19,07:30:00,ATH,E,1,M,F,C,C,V,M,NA,F,N,FF,N,1
C4,7,07.08.19,08:30:00,ATH,E,1,R,M,C,C,V,V,6000,F,N,FF,N,5
C4,7,09.08.19,16:22:00,VIP,E,1,M,NA,C,C,V,M,NA,M,J,FO,N,3
C4,7,10.08.19,16:15:00,HOC,E,1,M,F,C,C,V,M,NA,F,J,R,S,10
C4,7,12.08.19,16:25:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,M,N,9
C4,7,15.08.19,08:29:00,MST,E,1,R,F,C,C,V,V,5000,F,N,FO,N,10
C4,7,15.08.19,08:29:00,CPE,E,1,R,F,C,C,V,V,15000,F,N,R,N,1
C4,7,20.08.19,07:45:00,ATH,E,1,R,F,C,C,V,V,7000,F,N,FO,S,15
C4,7,20.08.19,08:51:00,ATH,E,1,M,F,C,C,V,M,NA,F,N,FO,N,6
C4,7,25.08.19,07:30:00,GEN,E,1,R,M,C,C,V,V,5000,F,N,R,N,10
C4,7,25.08.19,08:25:00,RAT,E,1,M,F,C,C,V,M,NA,P,N,P,S,4
C4,7,25.08.19,09:01:00,ATH,E,1,M,F,C,C,V,V,7000,F,N,FF,S,7
E2,7,05.08.19,08:31:00,CMN,MR,31,M,NA,C,C,V,M,NA,P,J,FF,S,0.07
E2,7,06.08.19,07:23:00,CBL,E,1,M,F,A,A,V,C,5000,F,NA,NA,NA,NA
E2,7,06.08.19,07:35:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FF,S,2
E2,7,12.08.19,08:26:00,CMN,GF,4,M,NA,C,C,V,M,NA,P,NA,NA,NA,NA
E2,7,13.08.19,16:08:00,CBL,E,1,M,M,A,A,V,M,5000,P,NA,NA,NA,NA
E2,7,14.08.19,07:31:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FO,S,5
E2,7,14.08.19,07:34:00,CPE,E,1,M,F,C,C,V,C,NA,F,N,FO,S,5
E2,7,14.08.19,07:34:00,ATH,E,1,M,M,C,C,V,M,NA,F,N,FO,S,5
E2,7,14.08.19,07:34:00,GEN,E,1,M,F,C,C,V,M,NA,F,N,FO,S,5
E2,7,15.08.19,16:06:00,CMN,MR,2,R,NA,D,D,V,M,NA,P,NA,NA,NA,NA
E2,7,15.08.19,16:20:00,CMN,G,1,M,NA,C,C,V,M,NA,P,NA,NA,NA,NA
E2,7,15.08.19,16:20:00,CMN,T,1,M,NA,C,C,V,M,NA,P,NA,NA,NA,NA
E2,7,15.08.19,16:20:00,CMN,MR,36,M,NA,C,C,V,M,NA,P,NA,NA,NA,NA
E2,7,15.08.19,16:29:00,CMN,G,1,M,NA,D,D,V,M,NA,P,NA,NA,NA,NA
E2,7,16.08.19,07:23:00,CBL,E,1,M,M,C,C,V,M,NA,F,NA,NA,NA,NA
E2,7,19.08.19,16:22:00,CMN,MR,30,M,NA,A,A,V,M,3000,NA,NA,NA,NA,NA
E2,7,19.08.19,16:22:00,CMN,P,1,M,NA,A,A,V,M,3000,NA,NA,NA,NA,NA
E2,7,21.08.19,07:49:00,GEN,P,1,M,NA,C,C,V,V,3500,P,J,FF,N,1
E2,7,23.08.19,07:21:00,GEN,P,1,M,NA,C,C,V,V,5000,P,J,FF,S,0.1
E2,7,23.08.19,07:29:00,CMN,T,1,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
E2,7,23.08.19,07:29:00,CMN,MR,10,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
E2,7,25.08.19,07:29:00,CBL,E,1,R,F,C,C,V,V,6000,F,NA,NA,NA,NA
E2,7,25.08.19,07:36:00,CMN,G,4,M,NA,C,C,V,M,NA,F,NA,NA,NA,NA
E2,7,25.08.19,07:36:00,CMN,T,1,M,NA,C,C,V,M,NA,F,NA,NA,NA,NA
E2,7,25.08.19,07:36:00,CMN,MR,5,M,NA,C,C,V,M,NA,F,NA,NA,NA,NA
E2,7,25.08.19,16:21:00,CMN,MR,16,M,NA,A,A,V,M,2000,NA,NA,NA,NA,NA
E8,7,05.08.19,16:11:00,MST,E,1,R,M,C,C,V,V,4000,F,J,FO,S,2
E8,7,06.08.19,07:25:00,HER,E,1,M,F,AH,A,H,M,NA,NA,NA,NA,NA,NA
E8,7,06.08.19,16:02:00,CRN,E,1,M,M,C,C,V,V,10000,F,N,R,S,1.5
E8,7,06.08.19,16:09:00,POT,E,1,R,M,C,C,V,V,25000,F,J,FO,S,2
E8,7,07.08.19,07:30:00,CBL,E,1,M,F,C,C,V,C,NA,F,N,FO,S,4
E8,7,07.08.19,07:30:00,CBL,E,1,M,M,C,C,V,C,NA,F,N,FO,S,4
E8,7,07.08.19,07:30:00,CPO,E,1,M,M,C,C,V,C,NA,F,J,FO,S,6
E8,7,10.08.19,07:37:00,CAL,E,1,M,M,C,C,V,M,NA,F,J,FO,N,0.05
E8,7,14.08.19,16:11:00,MPN,E,1,R,M,C,C,V,V,4000,P,J,FO,S,0.8
E8,7,15.08.19,07:42:00,CBL,E,1,M,F,CH,C,H,C,NA,F,N,NA,NA,NA
E8,7,15.08.19,07:42:00,SIT,E,1,M,M,CH,C,H,C,NA,F,N,NA,NA,NA
E8,7,15.08.19,07:42:00,CPE,E,1,M,F,CH,C,H,C,NA,F,N,NA,NA,NA
E8,7,15.08.19,16:15:00,MAN,E,1,M,F,C,C,V,C,NA,F,J,FO,N,5
E8,7,15.08.19,16:15:00,NAN,E,1,M,M,C,C,V,C,NA,F,N,NA,N,4
E8,7,15.08.19,16:15:00,CBL,E,1,M,F,C,C,V,C,NA,F,N,NA,N,4
E8,7,15.08.19,16:15:00,CFN,E,1,M,M,C,C,V,C,NA,F,N,NA,N,3
