village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
C3,6,08.07.19,07:28:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FF,N,1
C3,6,08.07.19,07:28:00,PCM,E,1,M,M,C,C,V,V,3000,M,N,NA,N,1
C3,6,08.07.19,15:55:00,CPE,E,1,M,F,C,C,V,V,15000,F,NA,NA,NA,NA
C3,6,08.07.19,15:55:00,CPE,E,1,M,M,C,C,V,V,15000,F,NA,NA,NA,NA
C3,6,08.07.19,15:55:00,ATH,E,1,M,M,C,C,V,V,8000,F,NA,NA,NA,NA
C3,6,08.07.19,15:55:00,CBL,E,1,M,M,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,08.07.19,15:55:00,HOC,E,1,M,F,C,C,V,V,4000,F,NA,NA,NA,NA
C3,6,08.07.19,15:55:00,HOC,E,1,M,M,C,C,V,M,NA,F,NA,NA,NA,NA
C3,6,10.07.19,07:30:00,CFN,E,1,M,F,C,C,V,V,13000,F,N,M,N,2
C3,6,10.07.19,07:30:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,N,1
C3,6,10.07.19,07:30:00,MST,E,1,M,F,C,C,V,M,NA,F,J,FF,N,1
C3,6,10.07.19,15:59:00,CPE,E,1,M,M,AH,A,H,C,15000,F,NA,NA,NA,NA
C3,6,11.07.19,07:44:00,POT,G,2,M,NA,A,A,V,M,10000,NA,NA,NA,NA,NA
C3,6,11.07.19,16:02:00,CBA,E,1,M,F,C,C,V,M,NA,P,J,FO,S,2
C3,6,11.07.19,16:27:00,CBA,E,1,M,M,C,C,V,M,NA,F,J,NA,N,NA
C3,6,13.07.19,15:57:00,CBL,E,1,M,M,C,C,V,V,5000,P,J,NA,N,2
C3,6,13.07.19,15:57:00,CDJ,G,2,M,NA,C,C,V,M,NA,P,J,FO,N,2
C3,6,14.07.19,07:32:00,CPE,E,1,M,F,C,C,V,V,13000,F,NA,NA,NA,NA
C3,6,14.07.19,07:32:00,CBL,E,1,M,M,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,14.07.19,07:47:00,CBL,E,1,M,M,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,14.07.19,07:47:00,CBL,E,1,M,M,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,14.07.19,07:47:00,CBL,E,1,M,F,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,14.07.19,07:47:00,CBL,E,1,M,F,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,14.07.19,07:47:00,CBL,E,1,M,M,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,14.07.19,07:47:00,CBL,E,1,M,F,C,C,V,V,5000,F,NA,NA,NA,NA
C3,6,17.07.19,15:31:00,MST,E,1,M,M,C,C,V,M,NA,F,J,FF,S,1
C3,6,19.07.19,16:27:00,POT,E,1,M,M,C,C,V,V,80000,F,J,M,S,2
C3,6,25.07.19,07:29:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,FF,N,2
C3,6,25.07.19,07:29:00,CPE,E,1,M,F,C,C,V,V,15000,F,N,FO,N,1
C3,6,25.07.19,15:56:00,MST,E,1,M,M,C,C,V,M,NA,F,J,FF,S,1
C3,6,25.07.19,16:34:00,CPE,E,1,M,M,C,C,V,M,NA,P,J,NA,NA,NA
C4,6,08.07.19,16:16:00,CBL,E,1,M,M,C,C,V,M,NA,P,N,R,N,10
C4,6,08.07.19,16:16:00,ATH,E,1,M,M,C,C,V,V,5000,F,N,FO,N,8
C4,6,13.07.19,08:30:00,CPE,E,1,M,M,C,C,V,V,15000,P,N,FO,N,6
C4,6,20.07.19,07:41:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,R,S,5
C4,6,20.07.19,08:21:00,CBL,E,1,M,M,C,C,V,M,5000,F,NA,NA,NA,NA
C4,6,20.07.19,08:30:00,CBL,MR,10,M,NA,A,A,V,M,6000,NA,NA,NA,NA,NA
C4,6,20.07.19,16:30:00,CBL,E,1,M,F,DH,D,H,M,NA,NA,NA,NA,NA,NA
C4,6,21.07.19,08:05:00,PTT,MR,4,M,NA,C,C,V,M,NA,F,N,FO,S,1
C4,6,21.07.19,15:55:00,CMN,MR,5,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C4,6,22.07.19,08:30:00,CDO,MR,10,M,NA,C,C,V,M,NA,F,N,FF,N,7
C4,6,23.07.19,08:10:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,R,S,9
C4,6,26.07.19,08:40:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,R,S,11
E9,6,08.07.19,08:00:00,ATH,E,1,R,F,C,C,V,V,5000,F,N,P,S,0.5
E9,6,19.07.19,07:45:00,MST,E,1,R,M,C,C,V,V,3000,F,J,FO,N,4
E9,6,21.07.19,07:58:00,CMN,GF,2,M,NA,A,A,V,M,2500,NA,NA,NA,NA,NA
E9,6,22.07.19,08:01:00,HER,E,1,R,M,C,C,V,V,7000,F,N,P,S,0.3
E9,6,23.07.19,07:51:00,NAN,E,1,R,F,C,C,V,V,6000,F,N,FF,S,4
E9,6,25.07.19,07:24:00,CBL,EF,1,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
E9,6,25.07.19,07:28:00,RAT,E,1,M,M,C,C,V,M,NA,P,J,P,N,0.1
E9,6,25.07.19,07:50:00,ATH,E,1,R,F,C,C,V,V,10000,F,N,FF,S,3
E9,6,26.07.19,08:43:00,NAN,E,1,M,F,D,D,V,M,NA,F,NA,NA,NA,NA
C7,6,08.07.19,07:40:00,RAT,E,1,M,M,C,C,V,M,NA,P,J,FF,N,0.1
C7,6,10.07.19,07:19:00,CBL,E,1,R,M,C,C,V,V,6000,F,N,FF,S,2
C7,6,10.07.19,07:19:00,CBA,E,1,R,F,C,C,V,V,8000,F,N,FF,S,2
C7,6,11.07.19,07:40:00,CPE,E,1,R,F,C,C,V,V,15000,P,J,FO,N,3
C7,6,13.07.19,07:56:00,CBL,E,1,R,M,C,C,V,V,6000,F,N,FO,S,17
C7,6,13.07.19,07:56:00,CPE,E,1,M,M,C,C,V,V,15000,F,J,FO,S,17
C7,6,13.07.19,07:56:00,CPE,E,1,M,M,C,C,V,V,15000,F,J,FO,S,17
C7,6,13.07.19,07:56:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,FO,S,17
C7,6,13.07.19,07:56:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,FO,S,17
C7,6,13.07.19,07:56:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,FO,S,17
C7,6,13.07.19,07:56:00,CBL,E,1,M,F,C,C,V,V,6000,F,N,FO,S,17
C7,6,13.07.19,07:56:00,CBL,E,1,M,F,C,C,V,V,6000,F,N,FO,S,17
C7,6,13.07.19,07:56:00,CBL,E,1,M,F,C,C,V,V,6000,F,N,FO,S,17
C7,6,13.07.19,15:49:00,MAN,E,1,M,M,C,C,V,M,NA,F,J,FO,N,4
C7,6,13.07.19,15:49:00,MAN,G,4,M,F,C,C,V,M,NA,F,J,FO,N,4
C7,6,13.07.19,15:49:00,MAN,T,1,M,F,C,C,V,M,NA,F,J,FO,N,4
C7,6,13.07.19,16:28:00,MAN,G,1,M,NA,AH,A,H,M,3000,NA,NA,NA,NA,NA
C7,6,19.07.19,07:19:00,CPE,GD,1,M,M,C,C,V,M,NA,P,J,FF,N,4
C7,6,19.07.19,07:19:00,CPE,TD,1,M,M,C,C,V,M,NA,P,J,FF,N,4
C7,6,19.07.19,07:19:00,PIN,E,1,M,M,C,C,V,M,NA,C,J,FF,N,1.8
C7,6,20.07.19,15:50:00,MAN,G,2,M,M,C,C,V,M,NA,F,J,FO,N,4.8
C7,6,20.07.19,15:50:00,MAN,T,1,M,M,C,C,V,M,NA,F,J,FO,N,4.8
C7,6,20.07.19,15:50:00,CBL,E,1,R,F,C,C,V,V,3000,F,N,FO,N,4
C7,6,20.07.19,16:10:00,MAN,G,1,M,M,D,D,V,M,NA,F,J,FO,N,4.8
C7,6,23.07.19,15:49:00,MST,MR,30,M,F,C,C,V,M,NA,F,J,FF,S,2
C7,6,25.07.19,07:20:00,RAT,E,1,M,F,C,C,V,M,NA,P,J,P,N,0.2
C7,6,25.07.19,07:54:00,CPE,E,1,R,F,C,C,V,V,15000,F,N,FO,S,15
C7,6,25.07.19,07:54:00,CBL,E,1,R,M,C,C,V,V,6000,F,N,FO,S,15
C7,6,25.07.19,07:54:00,CBL,E,1,M,M,C,C,V,V,6000,F,N,FO,S,15
C7,6,25.07.19,07:54:00,CBL,E,1,M,F,C,C,V,V,6000,F,N,FO,S,15
C7,6,25.07.19,07:54:00,CBL,E,1,M,F,C,C,V,V,6000,F,N,FO,S,15
C7,6,25.07.19,16:11:00,ATH,MR,28,M,NA,C,C,V,M,NA,F,NA,NA,N,NA
C7,6,25.07.19,16:11:00,CBL,ED,1,M,M,C,C,V,M,NA,P,NA,NA,N,NA
C7,6,26.07.19,07:20:00,MAN,E,1,M,M,C,C,V,C,NA,F,J,FO,N,30
C7,6,26.07.19,07:20:00,CPE,E,1,M,F,C,C,V,C,NA,F,N,FO,N,30
C7,6,26.07.19,07:20:00,CPE,E,1,M,F,C,C,V,C,NA,F,N,FO,N,30
C7,6,26.07.19,07:20:00,AOI,E,1,M,F,C,C,V,C,NA,F,J,FO,N,30
C7,6,26.07.19,07:20:00,CBL,E,1,M,M,C,C,V,C,NA,F,N,FO,N,30
C7,6,26.07.19,07:20:00,CBL,E,1,M,M,C,C,V,C,NA,F,N,FO,N,30
C7,6,26.07.19,07:20:00,CBL,E,1,M,F,C,C,V,M,NA,F,N,FO,N,30
C9,6,08.07.19,07:27:00,CBL,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C9,6,08.07.19,07:27:00,PCM,E,1,M,NA,C,C,V,V,5000,F,N,FO,N,8
C9,6,08.07.19,07:27:00,CPE,E,1,M,F,C,C,V,V,15000,F,N,FO,N,8
C9,6,10.07.19,07:20:00,CBA,E,1,R,M,C,C,V,V,13000,F,N,FO,N,NA
C9,6,10.07.19,07:20:00,CBL,E,1,R,F,C,C,V,V,5000,F,N,FF,S,0.5
C9,6,11.07.19,07:30:00,CBA,E,1,R,M,C,C,V,V,10000,F,N,FF,S,0.5
C9,6,11.07.19,07:30:00,ATH,E,1,R,M,C,C,V,V,7000,F,N,FO,S,0.5
C9,6,14.07.19,15:03:00,CBL,E,1,R,M,C,C,V,V,5000,P,J,FO,N,4
C9,6,14.07.19,16:04:00,CPE,G,4,M,NA,C,C,V,M,NA,P,J,FO,N,4
C9,6,17.07.19,07:20:00,CFN,E,1,R,NA,C,C,V,V,NA,F,N,FO,S,NA
C9,6,17.07.19,07:20:00,CBL,E,1,R,NA,C,C,V,V,5000,F,N,FO,S,NA
C9,6,17.07.19,15:30:00,MPN,E,1,M,F,C,C,V,M,NA,P,J,FO,N,4
C9,6,17.07.19,15:30:00,PIN,E,1,R,NA,C,C,V,V,1000,P,J,FO,N,4
C9,6,20.07.19,07:22:00,CBL,E,1,R,NA,C,C,V,V,5000,F,N,FO,S,NA
C9,6,20.07.19,15:00:00,CPE,E,1,R,F,C,C,V,V,10000,P,J,FO,N,8
C9,6,21.07.19,07:39:00,CBL,E,1,R,M,C,C,V,M,NA,F,N,FF,S,0.5
C9,6,21.07.19,07:39:00,CPE,G,2,M,NA,C,C,V,M,NA,P,J,FO,N,8
C9,6,21.07.19,07:39:00,CBL,G,2,M,NA,C,C,V,M,NA,P,J,FO,N,8
C9,6,21.07.19,07:39:00,CPE,E,1,R,F,C,C,V,V,13000,P,J,FO,N,1
C9,6,21.07.19,15:47:00,CFN,E,1,M,M,C,C,V,C,NA,P,J,FO,S,2
C9,6,23.07.19,15:47:00,CBA,E,1,R,M,C,C,V,V,12000,P,J,FO,N,8
