village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
E10,9,05.10.19,07:21:00,ATH,E,1,M,F,C,C,V,M,NA,P,J,FF,N,1
E10,9,05.10.19,07:31:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,2
E10,9,06.10.19,07:35:00,HOC,E,1,R,M,C,C,V,V,7000,F,J,FO,S,3
E10,9,06.10.19,07:36:00,CAL,E,1,M,F,C,C,V,M,NA,F,J,FF,N,1
E10,9,07.10.19,07:41:00,CIV,E,1,R,F,C,C,V,V,7000,P,J,FF,S,1
E10,9,07.10.19,07:52:00,TOR,E,1,R,F,C,C,V,V,1000,P,J,FO,S,3
E10,9,07.10.19,07:56:00,CPE,E,1,R,F,C,C,V,V,15000,P,J,FO,S,3
E10,9,07.10.19,08:02:00,CPO,E,1,R,F,C,C,V,V,5000,F,J,FO,N,2
E10,9,09.10.19,07:56:00,MST,E,1,M,M,C,C,V,M,NA,F,J,FO,N,2
E10,9,09.10.19,17:14:00,CPO,E,1,M,M,C,C,V,V,4000,F,J,FO,S,3
E10,9,12.10.19,16:27:00,ATH,E,1,R,M,C,C,V,V,5000,P,J,FF,S,2
E10,9,12.10.19,16:52:00,ATH,E,1,M,F,C,C,V,M,NA,P,J,FF,S,2
E10,9,14.10.19,07:53:00,CBA,MR,6,M,NA,C,C,V,M,NA,P,J,FO,S,3
E10,9,14.10.19,08:48:00,CBA,T,1,M,NA,C,C,V,M,NA,P,J,FO,N,3
E10,9,15.10.19,08:18:00,ATH,E,1,M,F,C,C,V,V,5000,P,J,FO,S,4
E10,9,15.10.19,08:18:00,ATH,E,1,M,M,C,C,V,V,5000,P,J,FO,S,4
E10,9,15.10.19,08:18:00,ATH,E,1,M,M,C,C,V,V,6000,P,J,FO,S,4
E10,9,15.10.19,08:18:00,ATH,E,1,M,F,C,C,V,V,5000,P,J,FO,S,4
E10,9,15.10.19,08:18:00,ATH,E,1,M,M,C,C,V,V,6000,P,J,FO,S,4
E10,9,15.10.19,16:52:00,TOR,E,1,R,M,C,C,V,V,2000,P,J,FO,N,2
E10,9,15.10.19,16:52:00,TOR,E,1,R,F,C,C,V,V,1500,P,J,FO,N,2
E10,9,16.10.19,16:19:00,ATH,MR,17,M,NA,C,C,V,M,NA,P,J,FF,S,1
E10,9,16.10.19,16:39:00,ATH,MR,20,M,NA,C,C,V,M,NA,P,J,FO,S,3
E10,9,16.10.19,16:40:00,CBL,E,1,M,F,C,C,V,M,NA,P,J,FO,S,3
E10,9,17.10.19,16:15:00,ATH,E,1,R,M,C,C,V,V,5000,P,J,FO,S,3
E10,9,20.10.19,16:18:00,MNG,E,1,M,F,C,C,V,M,NA,P,J,FO,N,3
E10,9,20.10.19,16:29:00,ATH,E,1,M,M,C,C,V,V,5000,P,J,FO,S,2
C1,9,30.09.19,07:38:00,TOR,E,1,R,F,C,C,V,V,1000,M,J,P,N,NA
C1,9,30.09.19,07:48:00,HOC,E,1,M,F,C,C,V,M,NA,F,J,FO,N,4
C1,9,30.09.19,07:48:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,N,3
C1,9,30.09.19,07:48:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,N,3
C1,9,30.09.19,07:48:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,N,3
C1,9,30.09.19,07:48:00,POT,E,1,M,F,C,C,V,V,60000,P,N,FF,N,4
C1,9,30.09.19,16:33:00,POT,MR,13,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C1,9,30.09.19,16:58:00,CBL,E,1,M,M,DH,D,H,M,NA,F,NA,NA,NA,NA
C1,9,02.10.19,07:47:00,CFN,E,1,R,F,C,C,V,V,10000,F,N,FF,N,5
C1,9,02.10.19,08:04:00,ATH,E,1,R,M,C,C,V,V,6000,P,J,P,N,1
C1,9,05.10.19,07:26:00,CMN,MR,4,M,NA,A,A,V,M,100,NA,NA,NA,NA,NA
C1,9,05.10.19,07:32:00,CPO,E,1,R,F,C,C,V,V,5000,F,J,NA,NA,NA
C1,9,05.10.19,08:14:00,POT,MR,14,M,NA,DH,D,H,C,NA,NA,NA,NA,NA,NA
C1,9,05.10.19,16:26:00,CBL,MRF,7,M,NA,D,D,V,M,NA,NA,NA,NA,NA,NA
C1,9,06.10.19,07:40:00,CBL,GF,4,M,NA,C,C,V,M,NA,F,J,NA,NA,NA
C1,9,06.10.19,07:40:00,CBL,TF,1,M,NA,C,C,V,M,NA,F,J,NA,NA,NA
C1,9,06.10.19,08:51:00,MST,E,1,R,M,C,C,V,V,5000,F,J,FF,S,2
C1,9,09.10.19,07:24:00,HER,E,1,R,M,C,C,V,V,5000,F,N,P,N,NA
C1,9,09.10.19,07:32:00,POT,MI,2,M,F,C,C,V,V,30000,F,J,FO,N,7
C1,9,09.10.19,07:40:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FF,N,6
C1,9,09.10.19,07:40:00,CFN,E,1,M,M,C,C,V,V,10000,F,N,FO,N,7
C1,9,09.10.19,07:52:00,CPE,E,1,M,M,C,C,V,V,15000,F,N,FO,N,6
C1,9,09.10.19,07:54:00,CRN,MR,15,M,NA,C,C,V,M,NA,M,N,R,N,6
C1,9,09.10.19,07:54:00,CBL,E,1,R,F,A,A,V,M,NA,F,N,FO,N,6
C1,9,09.10.19,07:54:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,N,5
C1,9,09.10.19,16:17:00,POT,G,2,M,NA,C,C,V,M,7500,NA,NA,NA,NA,NA
C1,9,09.10.19,17:03:00,CMN,T,1,M,NA,A,A,V,M,NA,P,J,FF,S,4
C1,9,12.10.19,07:35:00,CPE,E,1,M,F,C,C,V,V,15000,F,N,FO,N,7
C1,9,12.10.19,07:35:00,CBA,E,1,M,F,C,C,V,V,12000,F,N,FF,N,6
C1,9,12.10.19,07:35:00,ATH,E,1,M,M,C,C,V,V,6000,F,N,NA,N,4
C1,9,12.10.19,08:56:00,TOR,E,1,R,M,C,C,V,V,1500,M,N,P,S,NA
C1,9,12.10.19,16:38:00,CMN,GD,1,M,NA,D,D,V,M,NA,P,J,NA,NA,NA
C1,9,14.10.19,07:27:00,CPE,E,1,R,F,C,C,V,V,9000,F,N,FF,N,5
C1,9,14.10.19,07:33:00,CBL,E,1,M,M,D,D,V,M,NA,F,N,NA,NA,NA
C1,9,16.10.19,15:55:00,ATH,E,1,R,F,C,C,V,V,4000,P,J,P,N,1
C1,9,16.10.19,17:27:00,ATH,E,1,R,M,C,C,V,V,7000,P,J,FF,S,5
C1,9,16.10.19,17:27:00,ATH,E,1,R,M,C,C,V,V,7000,P,J,FF,S,5
C1,9,16.10.19,17:27:00,CMN,E,1,R,F,C,C,V,M,NA,P,J,FO,S,2
C1,9,16.10.19,17:30:00,CMN,MRD,10,M,NA,D,D,V,M,NA,P,J,FF,S,NA
C1,9,17.10.19,17:18:00,RTL,E,1,M,M,C,C,V,M,NA,P,J,R,S,2
C1,9,20.10.19,07:28:00,CIV,E,1,R,M,C,C,V,V,5000,F,N,P,N,NA
C1,9,20.10.19,07:47:00,CBA,E,1,M,M,C,C,V,V,10000,F,N,FF,N,4
C1,9,20.10.19,07:47:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FF,N,4
C1,9,20.10.19,07:47:00,CBL,E,1,M,F,C,C,V,V,5000,F,N,FO,N,5
