chiffre_mois,nom_mois,name_month
1,janv.,jan
2,févr.,feb
3,mars,mar
4,avr.,apr
5,mai,may
6,juin,jun
7,juill.,jul
8,août,aug
9,sept.,sep
10,oct.,oct
11,nov.,nov
12,déc.,dec
