village,session,date,matin/soir,heure debut,heure fin,ME,MPE,MV,M,temps
E5,9,30.09.19,M,07:20:00,08:20:00,39,4,6,49,PP
E5,9,30.09.19,S,15:52:00,16:59:00,33,10,6,49,S
E5,9,01.10.19,M,07:21:00,08:15:00,34,9,6,49,S
E5,9,01.10.19,S,15:51:00,16:50:00,32,11,6,49,PP
E5,9,02.10.19,M,07:22:00,08:12:00,31,13,5,49,N
E5,9,02.10.19,S,15:51:00,16:46:00,39,5,5,49,PP
E5,9,05.10.19,M,07:21:00,08:23:00,36,8,5,49,S
E5,9,05.10.19,S,15:50:00,16:31:00,37,7,5,49,S
E5,9,06.10.19,M,07:23:00,08:16:00,30,14,5,49,S
E5,9,06.10.19,S,15:51:00,16:36:00,23,20,6,49,S
E5,9,07.10.19,M,07:21:00,08:05:00,20,24,5,49,GP
E5,9,07.10.19,S,15:51:00,16:42:00,32,12,5,49,S
E5,9,08.10.19,M,07:21:00,08:05:00,33,13,3,49,S
E5,9,08.10.19,S,15:50:00,16:46:00,35,8,6,49,S
E5,9,09.10.19,M,07:21:00,08:16:00,32,14,3,49,PP
E5,9,09.10.19,S,15:50:00,16:36:00,28,12,9,49,PP
E5,9,10.10.19,M,07:21:00,08:04:00,37,9,3,49,S
E5,9,10.10.19,S,15:51:00,16:36:00,28,12,9,49,S
E5,9,12.10.19,M,07:21:00,08:16:00,38,8,3,49,S
E5,9,12.10.19,S,15:51:00,16:38:00,35,11,3,49,S
E5,9,14.10.19,M,07:21:00,08:17:00,34,12,3,49,N
E5,9,14.10.19,S,15:51:00,16:42:00,40,6,3,49,GP
E5,9,15.10.19,M,07:21:00,08:17:00,42,4,3,49,N
E5,9,15.10.19,S,15:51:00,16:45:00,41,5,3,49,GP
E5,9,16.10.19,M,07:21:00,08:26:00,37,9,3,49,S
E5,9,16.10.19,S,15:51:00,16:41:00,34,10,5,49,N
E5,9,17.10.19,M,07:21:00,08:20:00,34,11,4,49,N
E5,9,17.10.19,S,15:51:00,16:36:00,35,11,3,49,N
E5,9,20.10.19,M,07:22:00,08:25:00,29,14,6,49,S
E5,9,20.10.19,S,15:51:00,16:30:00,33,10,6,49,S
E10,9,30.09.19,M,07:18:00,08:41:00,38,12,20,70,N
E10,9,30.09.19,S,15:49:00,17:03:00,37,16,17,70,S
E10,9,01.10.19,M,07:18:00,08:37:00,37,12,21,70,S
E10,9,01.10.19,S,15:48:00,17:07:00,40,15,15,70,S
E10,9,02.10.19,M,07:18:00,08:45:00,37,14,19,70,N
E10,9,02.10.19,S,15:48:00,16:56:00,34,17,19,70,S
E10,9,05.10.19,M,07:18:00,08:30:00,38,13,19,70,S
E10,9,05.10.19,S,15:48:00,17:01:00,37,14,19,70,S
E10,9,06.10.19,M,07:19:00,08:39:00,39,12,19,70,S
E10,9,06.10.19,S,15:49:00,17:00:00,35,16,19,70,S
E10,9,07.10.19,M,07:18:00,08:46:00,37,15,18,70,GP
