village,session,date,matin/soir,heure debut,heure fin,ME,MPE,MV,M,temps
E9,6,08.07.19,M,07:20:00,08:21:00,19,7,4,30,N
E9,6,08.07.19,S,15:49:00,16:42:00,23,4,3,30,N
E9,6,10.07.19,M,07:21:00,08:20:00,22,5,3,30,N
E9,6,10.07.19,S,15:51:00,16:47:00,21,6,3,30,PP
E9,6,11.07.19,M,07:21:00,08:19:00,21,6,3,30,N
E9,6,11.07.19,S,15:51:00,17:09:00,21,6,3,30,S
E9,6,13.07.19,M,07:22:00,08:30:00,21,5,4,30,N
E9,6,13.07.19,S,15:51:00,17:19:00,22,6,2,30,S
E9,6,14.07.19,M,07:20:00,08:24:00,18,9,3,30,N
E9,6,14.07.19,S,15:51:00,16:45:00,21,7,2,30,S
E9,6,16.07.19,M,07:19:00,08:30:00,24,4,2,30,S
E9,6,16.07.19,S,15:51:00,17:04:00,23,3,4,30,S
E9,6,17.07.19,M,07:21:00,08:29:00,23,4,3,30,S
E9,6,17.07.19,S,15:50:00,16:55:00,23,3,4,30,S
E9,6,19.07.19,M,07:21:00,08:25:00,16,10,4,30,S
E9,6,19.07.19,S,15:52:00,16:37:00,22,3,5,30,S
E9,6,20.07.19,M,07:25:00,08:33:00,17,8,5,30,N
E9,6,20.07.19,S,15:50:00,16:17:00,21,4,5,30,S
E9,6,21.07.19,M,07:21:00,08:35:00,22,3,5,30,S
E9,6,21.07.19,S,15:50:00,16:20:00,22,4,4,30,S
E9,6,22.07.19,M,07:20:00,08:17:00,22,4,4,30,N
E9,6,22.07.19,S,15:50:00,16:20:00,24,4,2,30,S
E9,6,23.07.19,M,07:22:00,09:00:00,23,5,2,30,S
E9,6,23.07.19,S,15:50:00,16:40:00,18,8,4,30,S
E9,6,25.07.19,M,07:21:00,08:23:00,21,5,4,30,N
E9,6,25.07.19,S,15:51:00,16:45:00,21,5,4,30,S
E9,6,26.07.19,M,07:22:00,08:32:00,24,2,4,30,S
E9,6,26.07.19,S,15:50:00,16:40:00,19,5,6,30,S
E9,6,27.07.19,M,07:20:00,08:18:00,24,2,4,30,N
E9,6,27.07.19,S,15:50:00,16:45:00,20,6,4,30,S
E6,6,08.07.19,M,07:19:00,07:41:00,4,2,14,20,N
E6,6,08.07.19,S,15:51:00,16:11:00,4,1,15,20,N
E6,6,10.07.19,M,07:20:00,07:42:00,4,1,15,20,N
E6,6,10.07.19,S,15:49:00,16:07:00,5,4,11,20,GP
E6,6,11.07.19,M,07:21:00,07:44:00,9,2,9,20,N
E6,6,11.07.19,S,15:49:00,16:13:00,7,2,11,20,S
E6,6,13.07.19,M,07:19:00,07:40:00,6,3,11,20,S
E6,6,13.07.19,S,15:49:00,16:08:00,2,1,17,20,S
E6,6,14.07.19,M,07:20:00,07:47:00,3,1,16,20,PP
E6,6,14.07.19,S,15:49:00,16:11:00,4,1,15,20,S
E6,6,16.07.19,M,07:20:00,07:41:00,3,2,15,20,N
E6,6,16.07.19,S,15:50:00,16:09:00,4,2,14,20,N
E6,6,17.07.19,M,07:21:00,07:46:00,4,2,14,20,N
E6,6,17.07.19,S,15:51:00,16:10:00,3,2,15,20,N
E6,6,19.07.19,M,07:21:00,07:51:00,3,2,15,20,N
E6,6,19.07.19,S,15:49:00,16:10:00,2,3,15,20,S
E6,6,20.07.19,M,07:19:00,07:46:00,3,3,14,20,N
E6,6,20.07.19,S,15:49:00,16:07:00,4,2,14,20,S
E6,6,21.07.19,M,07:20:00,07:41:00,2,4,14,20,PP
E6,6,21.07.19,S,15:50:00,16:10:00,2,1,17,20,S
E6,6,22.07.19,M,07:21:00,07:40:00,2,1,17,20,N
E6,6,22.07.19,S,15:50:00,16:10:00,3,0,17,20,S
E6,6,23.07.19,M,07:19:00,07:43:00,2,1,17,20,N
E6,6,23.07.19,S,15:49:00,16:07:00,3,1,16,20,S
E6,6,25.07.19,M,07:19:00,07:39:00,6,0,14,20,N
E6,6,25.07.19,S,15:50:00,16:11:00,3,2,15,20,S
E6,6,26.07.19,M,07:20:00,07:40:00,3,1,16,20,N
