village,session,date,matin/soir,heure debut,heure fin,ME,MPE,MV,M,temps
E9,7,05.08.19,M,07:20:00,08:32:00,23,3,4,30,N
E9,7,05.08.19,S,15:49:00,16:52:00,20,5,5,30,S
E9,7,06.08.19,M,07:20:00,08:21:00,20,5,5,30,N
E9,7,06.08.19,S,15:50:00,17:15:00,20,4,6,30,S
E9,7,07.08.19,M,07:20:00,08:21:00,18,6,6,30,N
E9,7,09.08.19,M,07:20:00,08:24:00,24,2,4,30,N
E9,7,09.08.19,S,15:49:00,16:55:00,18,6,6,30,S
E9,7,10.08.19,M,07:20:00,09:23:00,24,2,4,30,S
E9,7,10.08.19,S,15:49:00,16:47:00,18,2,10,30,S
E9,7,12.08.19,M,07:19:00,08:34:00,18,8,4,30,S
E9,7,12.08.19,S,15:50:00,17:36:00,23,3,4,30,S
E9,7,13.08.19,M,07:19:00,08:12:00,21,5,4,30,S
E9,7,13.08.19,S,15:51:00,16:42:00,23,3,4,30,N
E9,7,14.08.19,M,07:20:00,08:16:00,20,6,4,30,S
E9,7,14.08.19,S,15:49:00,16:45:00,20,5,5,30,S
E9,7,15.08.19,M,07:20:00,08:54:00,22,2,6,30,N
E9,7,15.08.19,S,15:51:00,16:52:00,22,3,5,30,S
E9,7,16.08.19,M,07:20:00,08:13:00,24,1,5,30,S
E9,7,16.08.19,S,15:49:00,18:03:00,24,1,5,30,N
E9,7,19.08.19,M,07:21:00,08:17:00,20,6,4,30,S
E9,7,19.08.19,S,15:53:00,16:54:00,21,5,4,30,S
E9,7,20.08.19,M,07:21:00,08:19:00,24,3,3,30,N
E9,7,20.08.19,S,15:49:00,16:43:00,23,3,4,30,S
E9,7,21.08.19,M,07:21:00,08:24:00,23,2,5,30,S
E9,7,21.08.19,S,15:49:00,16:43:00,20,5,5,30,S
E9,7,23.08.19,M,07:20:00,08:36:00,21,4,5,30,S
E9,7,23.08.19,S,15:50:00,16:44:00,23,2,5,30,N
E9,7,25.08.19,M,07:20:00,08:23:00,20,5,5,30,N
E9,7,25.08.19,S,15:49:00,17:00:00,23,2,5,30,S
E6,7,05.08.19,M,07:20:00,07:40:00,3,1,16,20,N
E6,7,05.08.19,S,15:49:00,16:09:00,1,3,16,20,N
E6,7,06.08.19,M,07:19:00,07:42:00,3,1,16,20,N
